"cc", "periodstart"
"btc","2019-04-01"
"eth","2019-04-01"
"xrp","2019-04-01"
"eos","2019-04-01"
"ltc","2019-04-01"
"bch","2019-04-01"
"bnb","2019-04-01"
"ada","2019-04-01"
"xlm","2019-04-01"
"usdt","2019-04-01"
"trx","2019-04-01"
"bsv","2019-04-01"
"xmr","2019-04-01"
"dash","2019-04-01"
"miota","2019-04-01"
"ont","2019-04-01"
"xtz","2019-04-01"
"mkr","2019-04-01"
"neo","2019-04-01"
"etc","2019-04-01"
"okb","2019-04-01"
"xem","2019-04-01"
"zec","2019-04-01"
"bat","2019-04-01"
"vet","2019-04-01"
"btc","2019-03-01"
"eth","2019-03-01"
"xrp","2019-03-01"
"ltc","2019-03-01"
"bch","2019-03-01"
"usdt","2019-03-01"
"xlm","2019-03-01"
"bsv","2019-03-01"
"xmr","2019-03-01"
"miota","2019-03-01"
"dash","2019-03-01"
"neo","2019-03-01"
"mkr","2019-03-01"
"etc","2019-03-01"
"xem","2019-03-01"
"zec","2019-03-01"
"waves","2019-03-01"
"doge","2019-03-01"
"btg","2019-03-01"
"okb","2019-03-01"
"hot","2019-03-01"
"bat","2019-03-01"
"omg","2019-03-01"
"qtum","2019-03-01"
"lsk","2019-03-01"
"dcr","2019-03-01"
"zrx","2019-03-01"
"rep","2019-03-01"
"zb","2019-03-01"
"icx","2019-03-01"
"npxs","2019-03-01"
"bcn","2019-03-01"
"dgb","2019-03-01"
"bts","2019-03-01"
"nano","2019-03-01"
"kmd","2019-03-01"
"steem","2019-03-01"
"theta","2019-03-01"
"iost","2019-03-01"
"xvg","2019-03-01"
"sc","2019-03-01"
"dai","2019-03-01"
"strat","2019-03-01"
"ark","2019-03-01"
"SNT","2019-03-01"
"xin","2019-03-01"
"fct","2019-03-01"
"maid","2019-03-01"
"ardr","2019-03-01"
"elf","2019-03-01"
"qkc","2019-03-01"
"ht","2019-03-01"
"lrc","2019-03-01"
"pivx","2019-03-01"
"mco","2019-03-01"
"btc","2019-02-01"
"xrp","2019-02-01"
"eth","2019-02-01"
"usdt","2019-02-01"
"xlm","2019-02-01"
"eos","2019-02-01"
"bch","2019-02-01"
"ltc","2019-02-01"
"ada","2019-02-01"
"trx","2019-02-01"
"xmr","2019-02-01"
"bnb","2019-02-01"
"miota","2019-02-01"
"xem","2019-02-01"
"dash","2019-02-01"
"etc","2019-02-01"
"neo","2019-02-01"
"ont","2019-02-01"
"xtz","2019-02-01"
"zec","2019-02-01"
"mkr","2019-02-01"
"doge","2019-02-01"
"tusd","2019-02-01"
"waves","2019-02-01"
"btg","2019-02-01"
"okb","2019-02-01"
"vet","2019-02-01"
"zrx","2019-02-01"
"omg","2019-02-01"
"qtum","2019-02-01"
"lsk","2019-02-01"
"dcr","2019-02-01"
"zb","2019-02-01"
"nano","2019-02-01"
"zil","2019-02-01"
"bcd","2019-02-01"
"bcn","2019-02-01"
"bts","2019-02-01"
"icx","2019-02-01"
"dgb","2019-02-01"
"sc","2019-02-01"
"xvg","2019-02-01"
"ae","2019-02-01"
"npxs","2019-02-01"
"hot","2019-02-01"
"link","2019-02-01"
"fct","2019-02-01"
"rep","2019-02-01"
"qash","2019-02-01"
"steem","2019-02-01"
"qkc","2019-02-01"
"kmd","2019-02-01"
"mana","2019-02-01"
"strat","2019-02-01"
"maid","2019-02-01"
"btc","2019-01-01"
"eth","2019-01-01"
"xrp","2019-01-01"
"bch","2019-01-01"
"eos","2019-01-01"
"xlm","2019-01-01"
"ltc","2019-01-01"
"ada","2019-01-01"
"usdt","2019-01-01"
"xmr","2019-01-01"
"trx","2019-01-01"
"bnb","2019-01-01"
"dash","2019-01-01"
"miota","2019-01-01"
"xtz","2019-01-01"
"neo","2019-01-01"
"ont","2019-01-01"
"etc","2019-01-01"
"xem","2019-01-01"
"zec","2019-01-01"
"vet","2019-01-01"
"mkr","2019-01-01"
"doge","2019-01-01"
"btg","2019-01-01"
"zrx","2019-01-01"
"omg","2019-01-01"
"bcn","2019-01-01"
"okb","2019-01-01"
"lsk","2019-01-01"
"dcr","2019-01-01"
"btc","2018-12-01"
"eth","2018-12-01"
"xrp","2018-12-01"
"bch","2018-12-01"
"eos","2018-12-01"
"xlm","2018-12-01"
"ltc","2018-12-01"
"ada","2018-12-01"
"usdt","2018-12-01"
"xmr","2018-12-01"
"trx","2018-12-01"
"bnb","2018-12-01"
"dash","2018-12-01"
"miota","2018-12-01"
"xtz","2018-12-01"
"neo","2018-12-01"
"ont","2018-12-01"
"etc","2018-12-01"
"xem","2018-12-01"
"zec","2018-12-01"
"vet","2018-12-01"
"mkr","2018-12-01"
"doge","2018-12-01"
"btg","2018-12-01"
"zrx","2018-12-01"
"omg","2018-12-01"
"bcn","2018-12-01"
"okb","2018-12-01"
"lsk","2018-12-01"
"dcr","2018-12-01"
"btc","2018-11-01"
"eth","2018-11-01"
"xrp","2018-11-01"
"bch","2018-11-01"
"eos","2018-11-01"
"xlm","2018-11-01"
"ltc","2018-11-01"
